"Repartición Licitante","Tipo de Licitación","Nro. Expediente","Año Expediente","Objeto","Monto Oficial","Costo Pliego","Sellado","Observaciones","Fecha Apertura","Fecha Resolución","Nro. Resolución","Tipo de Norma","Nro de Norma","Año Norma","Resultado","Estado","Link",
"Secretaría de Deporte y Turismo","Concurso de Precios",11,2024,"Contratación del servicio de iluminación para ser implementado durante el desarrollo de los Juegos Crear 2024,  dentro de las actividades a desarrollar por la Dir. Gral de Deporte Federado, dependiente de la Subsecretaria de Deporte - Sec. de Deporte y Turismo - Municipalidad de Rosario ","1.023.666,67",",00",",00","","07/05/2024","16/04/2025",0,,,,"Se ADJUDICA por MEJOR PRECIO a Cooperativa de Trabajo Cronopios LTDA (CUIT 30-31562113-0) por un monto total de $535.000.- ","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30362",
"Secretaría de Deporte y Turismo","Concurso de Precios",12,2024,"contratación del servicio de producción audiovisual para los Juegos CreAr 2024, dentro de las actividades a desarrollar por la Dirección General de Deporte Federado, dependiente de la Subsecretaría de Deporte - Secretaria de Deporte y Turismo -Municipalidad de Rosario","840.000,00",",00",",00","","07/05/2024","16/04/2025",0,,,,"Se ADJUDICA por ÚNICA PROPUESTA y PRECIO CORRIENTE EN PLAZA a Perez Canton Julian (CUIT 23-30560733-9) por un monto total de $840.000.-","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30363",
"Secretaría de Deporte y Turismo","Concurso de Precios",15,2024,"Adquisición de pelotas para la practica de futbol y voley para ser utilizadas en los juegos crear 2024 dependiente de la Subsecretaría de Deporte y Turismo - Municipalidad de Rosario  ","1.941.000,00",",00",",00","","07/05/2024","16/04/2025",0,,,,"Se ADJUDICA por MEJOR PRECIO a Marrot Celina Rene (CUIT 27-17460806-2) por un monto total de $1.705.000.","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30364",
"Secretaría de Deporte y Turismo","Concurso de Precios",13,2024,"Adquisición de materiales eléctricos parta utilizar en los Juegos CREAR 2024 organizado por la Dir. Gral del Deporte Federado - Subsecretaria de Deporte de la Sec. de Deporte y Turismo  ","1.406.507,00",",00",",00","","07/05/2024",,0,,,,,"Abierta en evaluación","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30365",
"Secretaría de Deporte y Turismo","Concurso de Precios",14,2024,"Contratación del servicio de alquiler de baños químicos que se utilizarán en los juegos CREAR 2024  evento dependiente de la Subsecretaria de Deporte - Sec. de Deporte y Turismo - Municipalidad de Rosario ","1.755.016,00",",00",",00","","07/05/2024","16/04/2025",0,,,,"Se ADJUDICA por ÚNICA PROPUESTA y PRECIO CORRIENTE EN PLAZA a Pazelli Jonatan (CUIT 23-37372980-9) por un monto total de $1.359.600.- ","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30366",
"Hospital de Emergencias ""Dr. Clemente Álvarez""","Concurso de Precios",20705,2024,"BIOMEDICOS BLOCK QUIRURGICO","13.683.000,00",",00",",00","","07/05/2024","20/05/2024",888,,,,"RESOLUCION  N.º 000888
Rosario, ""Cuna de la Bandera""  20 MAY 2024

VISTO el llamado a Concurso de Precios Nro: 07/05 efectuado por el H.E.C.A., dependiente de la Secretaria de Salud Publica, para la adquisición de ?BIOMEDICOS BLOCK QUIRURGICO? , y teniendo en cuenta los informes obrantes en el mencionado legajo.
Y VISTO: La  necesidad de efectuar adquisición  de medicamentos, insumos médicos, ,material descartable y elementos indispensables para la prestación del servicio de salud, en los efectores que integran la red de salud de esta Secretaria de Salud Pública.

        Y CONSIDERANDO:  Que de conformidad a la Ordenanza  nro: 10.586 dictada en fecha 18 de diciembre de 2023 debidamente promulgada, el Concejo Municipal aprueba el  Protocolo de Agilización  de relaciones instiucioanles municipales en materia social y sanitaria, en su articulo primero,  y conforme las facultades otorgadas pro el articulo 11 de la L.O.M y el art 68 inc a de la O.C se autoriza al  Departamento Ejecutivo Municipal a efectuar por el plazo de 365 días la contratación directa de los bienes y  servicios que sean necesarios para la contención social, sanitaria y habitacional (alquileres) de la población.
Que por lo tanto el órgano legislativo exime por razones de urgencia, al Departamento Ejecutivo de efectuar los procedimientos de compras, que por monto hubieran correspondido incoar, según la Ordenanza de Contabilidad y el Reglamento de compras vigentes, aplicando de esta forma el articulo 68 inc a de la Ordenanza de Contabilidad.
Que no obstante esta autorización otorgada y a los fines de asegurar total transparencia y permitir la mayor participación se han efectuado invitaciones y publicación del llamado para  obtener también las ofertas mas conveniente y que permitan con ello, una afectación de los recursos en la mayor atención de las necesidades para la contención social, sanitaria y habitacional (alquileres) de la población.

                           
                        SIENDO NECESARIO PROVEER SOBRE EL PARTICULAR 
                                               EN USO DE SUS ATRIBUCIONES
LA SECRETARÌA DE SALUD PÙBLICA RESUELVE


ART. 1º: ADJUDICASE: el precitado Concurso en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.-

ADJUDICATARIO: GALENO?S I.M DE ELOY HERNANDEZ. en  los ítems  7, 13, 14 y 15  por un importe total de  $  795.900,00 (pesos setecientos noventa y cinco mil novecientos con 00/00).
ADJUDICATARIO: PROPATO HNOS S.A.I.C. en  los ítems  3 y 6  por un importe total de    
$ 1.439.928,50 (pesos un millón cuatroscientos treinta y nueve mil novecientos veintiocho con 50/00).
ADJUDICATARIO: DROGUERIA DEL LITORAL S.A. en  el ítem  4  por un importe total de  $  2.887,665,00 (pesos dos millones ochocientos ochenta y siete mil seiscientos sesenta y cinco con 00/00).
ADJUDICATARIO: DROGUERIA NEW DROG S.R.L. en  los ítems  5 y 8 por un importe total de  $  5.106.200,00 (pesos cinco millones ciento seis mil doscientos con 00/00).
ADJUDICATARIO: DROGUERIA COMARSA S.A. en  los ítems  1, 9, 10, 11 y 12 por un importe total de  $  2.143.403,50 (pesos dos millones ciento cuarenta y tres mil cuatrocientos tres con 50/00).
ADJUDICATARIO: GUFA S.R.L. en el ítem  16 por un importe total de  $ 134.908,00 (pesos  ciento treinta y cuatro mil novecientos ocho con 00/00).
ADJUDICATARIO: UNIC COMPANY S.R.L. en el ítem 2 por un importe total de  $ 923.150,00 (pesos  novecientos veintitrés mil ciento cincuenta con 00/00).

     ART. 2º: EL GASTO: que demande el cumplimiento de la presente resolución, deberá imputarse a los conceptos analíticos contenidos en el Clasificador por Objeto del Gasto vigente y a los clasificadores presupuestarios institucional, por fuente de financiamiento y por finalidad y función, de acuerdo a las relaciones de conversión definidas por el área responsable para los sistemas informáticos de  Liquidación de Haberes y Administrativo-Contable de manera optativa a las siguientes partidas:          
0.08020.1.08.02.0.1.01.1.2.1.02.09.05.08; 0.08020.1.08.02.0.2.01.15.2.1.02.09.05.08;   0.08020.1.08.02.0.2.01.14.2.1.02.09.05.08; (BIOMEDICOS BLOCK QUIRÚRGICO) la cantidad de $ 13.431.155,00 (pesos trece millones cuatrocientos treinta y un mil ciento cincuenta y cinco con 00/00). del presupuesto  vigente y con estricto cumplimiento del art 55 de la Ordenanza de Contabilidad, según corresponda.-

ART. 3º: COPIAR comunicar a quien corresponda y archivar.

","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30374",
"Secretaría de Control y Convivencia","Concurso de Precios",28,2024,"Adquisición de Cubiertas para Vehículos  para la Dir. de Control de Proximidad - Sec. de Control y Convivencia ","1.195.800,00",",00",",00","","07/05/2024","04/06/2024",171,,,,"Se adjudica el ítem a Ferrario Ruben Mario priorizando calidad ya que cuenta con mejor agarre, mayor resistencia y durabilidad comprobada.
Total adjudicado: $989.856.- (Pesos Novecientos ochenta y nueve mil Ochocientos cincuenta y seis).-","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30377",
"Secretaría de Control y Convivencia","Concurso de Precios",29,2024,"Adquisición de Cascos rebatibles para personal que conduce motocicletas de la Dir. Gral. de Transito - Sec. de Obras Públicas  ","1.830.000,00",",00",",00","","07/05/2024","16/05/2024",0,,,,"Se adjudica por única propuesta y precio corriente en plaza  a Motor 2 Dos SRL.
Total Adjudicado: $1.830.000.-","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30381",
"Secretaría de Salud Pública","Licitación Privada",10120,2024,"Compra de calzado de seguridad","6.439.727,44",",00","12.879,45","","08/05/2024","24/05/2024",926,,,,"                   A MERLO NATALIA VERONICA Y MERLO EMILIO FABIAN SOC. DEL CAP I DE LA SEC IV por un importe de  $ 4.902.078.- (Pesos cuatro millones novecientos dos mil setenta y ocho).-","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30256",
"Secretaría de Cultura y Educación","Licitación Privada",7533,2024,"Servicio de limpieza y mantenimiento para la Escuela Municipal de Danzas y Arte Escénico ""Ernesto de Larrechea""","9.000.000,00","18.000,00",",00","","08/05/2024","14/06/2024",297,,,,"Se adjudicó a la Cooperativa de Trabajo ""INTRA"" Limitada por mejor precio, por la suma total de $ 5.760.000.- (Pesos Cinco Millones Setecientos Sesenta Mil).","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30286",
"Secretaría de Desarrollo Humano y Hábitat","Concurso de Precios",25966,2024,"COMPRA DE RESMAS PARA LA SECRETARÍA DE DESARROLO HUMANO Y HÁBITAT","1.744.800,00",",00",",00","","08/05/2024","13/05/2024",2814,,,,"A la firma: NESTOR TRIVISONNO S.R.L. por la suma de $6.249,99 c/u. Por mejor precio.","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30370",
"Secretaría de Control y Convivencia","Concurso de Precios",30,2024,"Adquisición de Alimentos para Equinos para la Dir. Gral. de Control Urbano - Sec. de Control y Convivencia ","2.178.000,00",",00",",00","","08/05/2024","13/05/2024",168,,,,"Se adjudica el Ítem a David Maizares por Única propuesta y Precio corriente en plaza, por un importe total de $2.178.000.-

Total Adjudicado: $2.178.000.- (Dos millones Ciento setenta y ocho mil)
","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30372",
"Secretaría de Obras Públicas","Concurso de Precios",27,2024,"Provisión de fuente para monitor de PC para la Dir. de Conservación de la Vía Pública - Sec. de Obras Públicas","15.174,50",",00",",00","","08/05/2024","21/01/2025",0,,,,"Se ADJUDICA a DE MAIO, JORGE ANTONIO, CUIT: 20-25104759-7 por única oferta por la suma total de $14.500.","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30382",
"Secretaría de Obras Públicas","Concurso de Precios",29,2024,"Provisión de filtros para vehículos de la Sec. de Obras Públicas ","678.911,77",",00",",00","","08/05/2024","21/01/2025",0,,,,"Se adjudica a VETARO SOCIEDAD COLECTIVA, CUIT: 30-56785933-5 por única propuesta y precio corriente en plaza los ítems 1, 3, 6, 7, 8 al 11 y el 13 al 15 por la suma total de $230.915,30. Quedan desiertos los ítems 2, 4, 5 y 12. ","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30383",
"Sociedad del Estado Municipal Hipódromo Rosario","Licitación Privada",3,2024,"Adquisición de Artículos y Repuestos de Jardinería para el mantenimiento de las instalaciones de la Sociedad del Estado Municipal Hipódromo Rosario.","2.475.000,00","5.000,00",",00","","09/05/2024",,0,,,,,"Abierta en evaluación","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30292",
"Sociedad del Estado Municipal Hipódromo Rosario","Licitación Privada",4,2024,"Adquisición de ropa y calzado de trabajo de invierno para el personal de la sociedad del estado municipal hipódromo rosario
IMPORTANTE: LA COMPRA DEL PLIEGO DEBE HACERSE EN LA ADMINISTRACIÓN DE ESTA SOCIEDAD O BIEN A TRAVÉS DE TRANSFERENCIA BANCARIA O DEPÓSITO EN LA CUENTA CORRIENTE Nº 20-7671/7 DE ESTA SEM ","7.175.000,00","8.000,00",",00","","09/05/2024",,0,,,,,"Abierta en evaluación","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30299",
"Servicio Urbano de Mantenimiento Ambiental Rosario (Sumar)","Licitación Pública",104,2024,"Puesta en Valor de Tres Plazas en Diferentes Distritos de la ciudad de Rosario- SUMAR-
Presupuesto Oficial Plaza 1:$294.000.000.-
 Presupuesto Oficial Plaza 2:$644.000.000.-
Presupuesto Oficial Plaza 3:$412.000.000","1.350.000.000,00","100.000,00",",00","Presupuesto","09/05/2024","20/12/2024",0,,,,"Se ADJUDICA por MEJOR PRECIO a ANDRES ARRIAGA S.R.L. PLAZA 1 (Juan Bautista Alberdi) por un monto total de $273.179.510,71; a DEROSARIO SERVICIOS S.R.L. PLAZA 2 (Saavedra) por un monto total de $547.240.035,42 y a DEL SOL CONSTRUCTORA S.A PLAZA 3 (SantaRosa) por un monto total de $394.725.600,00.-","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30301",
"Hospital de Niños ""Víctor J. Vilela""","Licitación Privada",0,0,"BOLSAS DE CORTE Y RESIDUOS. ""HOSPITAL VILELA""","5.478.501,04",",00","10.957,00","","09/05/2024","14/05/2024",845,,,,"DICHA LICITACION QUEDO DESIERTA. SE PROCEDE A REALIZAR UN NUEVO PROCEDIMIENTO DE COMPRA.-","Desierta","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30333",
"Dirección General de Vecinales","Concurso de Precios",1,2024,"Servicio e Insumos de Limpieza para la Dir. Gral. de Vecinales","1.800.000,00",",00",",00","","09/05/2024","16/09/2024",0,,,,"Se ADJUDICA por MEJOR PRECIO a COOPERATIVA DE TRABAJO ASUNCIÓN LIMITADA por un monto total de $1.382. 400.-","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30355",
"Servicio Público de la Vivienda y el Hábitat","Licitación Privada",31,2024,"INDUMENTARIA DE TRABAJO - Programas Locales de Hábitat y Vivienda - Bloquera - Servicio Público de la Vivienda y el Hábitat ","23.953.566,25",",00",",00","","09/05/2024","17/05/2024",778,,,,"Se DESESTIMA la ofertas presentadas para los ítems 2,3 y 4 por la empresa TEXPRO S.R.L 
Se ADJUDICA a las firmas:
*TEXPRO SRL por calidad el ítem 1 por la suma total de $2.476.638,36.-
*PROSEIND S.A por calidad, el ítem 4 por la suma total de $4.899.510.-
*BARILOCHE INDUMENTARIA SEL por calidad el ítem 2 y por mejor precio el ítem 3 por la suma total de $4.234.580.- 
*MERLO NATALIA VERONICA Y MERLO EMILIO FABIAN SOC. DEL CAP. I DE LA SEC. IV, por calidad los ítems 5 y 6 por la suma total de $ 949.035.-","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30369",
"Secretaría de Deporte y Turismo","Licitación Pública",43441,2023,"Contratación del servicio de Seguridad privada para los predios de la Subsecretaría de Deporte y para el Edificio de la Secretaría de Deporte y Turismo de la Municipalidad de Rosario","245.234.872,00","5.000,00",",00","","10/05/2024","07/08/2024",957,,,,"Se ADJUDICA  a la firma de PERRETTA EDIGIO MARCELINO, CUIT 20-10594762-4 los ITEMS 1, 2, 3, 4, 7, 8, 9, 11, 13, 14, 15, 16, 17 y 18 por ÚNICA OFERTA Y PRECIO CORRIENTE EN PLAZA, por un MONTO TOTAL de $221.154.000,00; y a la firma de CONTROL SSP S.R.L, CIUT 30-71212397-0 los ITEMS 5, 6, 10 y 12 por MEJOR PRECIO por un MONTO TOTAL de $88.164.960,00. ","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30181",
"Dirección General de Gobierno","Licitación Pública",30862,2023,"Contratación de una empresa de Vigilancia para prestar servicios en los predios de calle Moreno 2480 y Rivero 7665 de la Dir. de Depósito y/o Guarda Transitoria de vehículos remitidos y elementos secuestrados por las áreas de control de la Municipalidad","104.544.000,00","100.000,00",",00","","10/05/2024","15/08/2024",1010,,,,"Se ADJUDICA a la firma ROSEGUR - ROSARIO SEGURIDAD SRL. C.U.I.T.:30-71334110-6
por 17.520 horas para los items 1 y 2 por un monto total de $80.592.000; valor h/h $4.400 para el primer semestre.Subtotal: $19.272.000 y un valor h/h de $4.800 para el segundo semestre. Subtotal: $31.024.000. POR MEJOR PRECIO a partir del 01/09/2024 hasta el 31/08/2025 con opcion a prorroga de 6 (seis) meses 
","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30257",
"Secretaría de Desarrollo Humano y Hábitat","Licitación Privada",10920,2024,"CONTRATACIÓN DEL SERVICIO DE LIMPIEZA PARA LAS AREAS DEPENDIENTES DE LA SECRETARÍA DE DESARROLLO HUMANO Y HÁBITAT""","26.352.450,00","52.704,90",",00","","10/05/2024","27/05/2024",3288,,,,"A la firma: JNC MANTENIMIENTO INDUSTRIAL S.R.L. por $23.190.156,00 Total global. Por mejor precio.","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30278",
"Secretaría de Deporte y Turismo","Licitación Privada",4791,2024,"CONTRATACIÓN DE SERVICIOS DE CATERING PARA SER UTILIZADOS EN EVENTOS VARIOS DE LA SEBSECRETARíA DE DEPORTE - SEC. DE DEPORTE Y TURISMO DURANTE LOS MESES DE ABRIL Y MAYO","8.814.668,40","17.629,34",",00","","10/05/2024","23/05/2024",14,,,,"ADJUDICAR LA FIRMA ORIVE ESTEBAN JESÚS, CUIT 20-29216382-8 PARA LOS ÍTEMS Nº 1, 2, 3, 4, 5 Y 6 POR ÚNICA PROPUESTA Y PRECIO CORRIENTE EN PLAZA, POR EL IMPORTE DE $6.990.000,00.","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30285",
"Secretaría de Gobierno","Licitación Privada",7296,2024,"COMPRA DE CONO DE RESINA ACRÍLICA PARA PRÓTESIS POR AMPUTACIÓN DE MIEMBRO INFERIOR IZQUIERDO A NIVEL SOBRE RODILLA - PROGRAMA DE SALUD DE LAS TRABAJADORAS Y LOS TRABAJADORES","3.945.600,00","7.891,20",",00","","10/05/2024","20/08/2024",93,,,,"Se declara DESIERTA.- ","Desierta","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30290",
"Secretaría de Movilidad","Licitación Privada",2109,2024,"PROVISIÓN DE EQUIPO DE AIRE ACONDICIONADO SPLIT FRIO/CALOR SIN INSTALACION PARA LA SEC. DE MOVILIDAD","5.270.194,00","10.540,39",",00","","10/05/2024","08/07/2024",130,,,,"Se ADJUDICA  a la firma ROSARIO CONFORT SRL los items 1 y 2 por mejor precio por un monto total de $4.774.000.-
Se DESESTIMA a la oferta PERREN DIEGO Y PERREN FRANCO S.H ","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30294",
"Secretaría de Obras Públicas","Licitación Privada",3169,2024,"ADQUISICIÓN DE EXTINTORES PARA EL EDIFICIO DE LA EX ADUANA Y DE LAS DEPENDENCIAS DE LA SEC. DE OBRAS PUBLICAS","7.894.436,85","15.788,87",",00","","10/05/2024","01/07/2024",14,,,,"Se ADJUDICA a DEFFATO, HECTOR MIGUEL el ítem 1 por mejor precio por la suma total de $3.026.000.- y a la firma MERLO NATALIA V. Y MERLO EMILIO F. SOC. DEL CAP I DE LA SEC. IV los ítems 2, 3 y 4 por mejor precio por la suma total de $5.625.591.- ","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30297",
"Secretaría de Igualdad, Género y Derechos Humanos","Licitación Privada",6259,2024,"SERVICIO DE LIMPIEZA PARA CENTROS DE PROTECCIÓN ALICIA MOREAU Y CASA AMIGA - SEC. DE IGUALDAD, GENERO Y DDHH","9.464.000,00","18.928,00",",00","","10/05/2024","08/07/2024",19,,,,"Se ADJUDICA a COOP. DE TRANAJO LA VUELTA LTDA., CUIT: 30-71728284-8 POR LA SUMA TOTAL DE $8.632.000. Valor H/H 1er. semestre $3800.- valor H/H 2do. semestre $4500. por el termino de 12 meses. por única oferta y precio corriente en plaza. ","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30300",
"Secretaría de Desarrollo Humano y Hábitat","Concurso de Precios",28276,2024,"COMPRA DE MOBILIARIO DESTINADO AL PUNTO CUIDAR REPÚBLICA DE LA SEXTA,DEPENDIENTE DE LA AGENCIA LOCAL DE PREVENCIÓN Y ABORDAJES DE CONSUMOS PROBLEMÁTICOS ""SECRETARÍA DE DESARROLLO HUMANO Y HÁBITAT""","5.981.519,00",",00",",00","","10/05/2024","16/05/2024",3011,,,,"Item1: a la firma TAMECAS S.R.L. por la suma de $141.900,00 c/u. Por mejor precio. 

Item 2: a la firma TAMECAS S.R.L. por la suma de $191.200,00 c/u. Por mejor precio.

Item 3: a la firma TAMECAS S.R.L. por la suma de $53.200,00 c/u. Por mejor precio.
 
Item 4: a la firma TAMECAS S.R.L. por la suma de $133.900,00 c/u. Por mejor precio. 

Item 5: a la firma FATTORE, OSVALDO JOSÉ por la suma de $222.000,00 c/u. Por mejor precio. 
Item 6: a la firma ROSARIO CONFORT S.R.L. por la suma de $29.900,00 c/u. Por mejor precio. 
Item 7: a la firma FATTORE, OSVALDO JOSÉ por la suma de $245.000,00 c/u. Por mejor precio. ","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30385",
"Secretaría de Obras Públicas","Concurso de Precios",30,2024,"Provisión de Baterías para Vehículos y equipos - Sec. de Obras Públicas ","1.763.479,93",",00",",00","","10/05/2024","13/01/2025",0,,,,"Se ADJUDICA por MEJOR PRECIO el Ítem Nº1 a BATTERY TRADING S.A. (CUIT 33-71561939-9) por un monto total de $1.351.000 y los Ítem N°2 y N°3 a YEMA REPUESTOS S.R.L (CUIT 30-71200854-3) por un monto total de $ 306.888,06.-","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30388",
"Hospital de Niños ""Víctor J. Vilela""","Concurso de Precios",0,0,"MEDICAMENTOS - ESPECIALIDADES MEDICINALES ""Hosp. Vilela""","8.725.869,30",",00",",00","","10/05/2024","16/05/2024",856,,,,"
RESOLUCIÓN Nro. 000856

?2024-A Rosario, ?Cuna de la Bandera? 16 MAY 2024

    Y VISTO:  La necesidad de efectuar adquisición de medicamentos, insumos médicos, material descartable y elementos indispensables para la prestación del servicio de salud, en los efectores que integran la red de salud de esta Secretaría de Salud Pública, con el objeto de atender el pedido solicitado por Serv. De Farmacia realizando el Concurso de Precio N.º 03-111-2024 ramitado a tal fin, para la adquisición de MEDICAMENTOS - ESPECIALIDADES MEDICINALES.-
      Y CONSIDERANDO: 	Que de conformidad a la Ordenanza Nro. 10586 dictada en fecha 18 de diciembre de 2023, que aprueba el Protocolo de Agilización de Relaciones Institucionales Municipales en Materia Social y Sanitaria y  conforme facultades otorgadas por el artículo 11 de la L.O.M. y el art. 68 inc. a, de la O.C. se autoriza al Departamento Ejecutivo a efectuar la contratación directa de los bienes y servicios que sean necesarios para la contención social, sanitaria y habitacional de la población, por el plazo de un año a contar a partir del 12 de marzo de 2024.
	Que por lo tanto el órgano legislativo exime por razones de urgencia al Departamento Ejecutivo de efectuar los procedimientos de compras, que por monto hubieran correspondido incoar según Ordenanza de Contabilidad y el Reglamento de compras vigentes, aplicando de esta forma el artículo 68 inc. a, de la Ordenanza de Contabilidad.
		
POR ELLO Y EN USO DE SUS ATRIBUCIONES
LA SECRETARÍA DE SALUD PÚBLICA
      RESUELVE:


Articulo 1º: SE DECLARAN DESESTIMADOS: ítems 2, 5, 7, 9, 12 y 15, por superar ampliamente el valor presupuestado en pliego.- 
Articulo 2º: SE DECLARAN DESIERTOS: ítems 1, 3, 4, 6, 8, 11, 13, 16, 18 y 19.
Artículo 3°: CONVALIDAR :  el precitado Concurso de Precio en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.- 

ADJUDICATARIO: NUEVA ERA ROSARIO S.R.L. ítems 10, 14 y 17, mejor precio, pesos dos millones setenta y nueve mil seiscientos c/00.- ($ 2.079.600,00.-).-
Artículo 4°: IMPUTAR: el gasto que demande el cumplimiento de la presente resolución a la partida 0.08030.1.08.03.00.1.01.01.2.1.02.05.02.32, 0.08030.1.08.03.00.2.1.14.2.1.02.05.02.32 ó 0.08030.1.08.03.00.2.1.15.2.1.02.05.02.32 (Drog. Cardiologicas y Cardiov. Normatizado); la cantidad de pesos doscientos treinta y cinco mil trescientos cincuenta c/00.- ($ 235.350,00.-).-
a la partida 0.08030.1.08.03.00.1.01.01.2.1.02.05.02.29, 0.08030.1.08.03.00.2.1.14.2.1.02.05.02.29 ó 0.08030.1.08.03.00.2.1.15.2.1.02.05.02.29 (Psicofarmacos y Estupefacientes); la cantidad de pesos un millón quinientos treinta y un mil seiscientos cincuenta c/00.- ($ 1.531.650,00.-).-
a la partida 0.08030.1.08.03.00.1.01.01.2.1.02.05.02.33, 0.08030.1.08.03.00.2.1.14.2.1.02.05.02.33 ó 0.08030.1.08.03.00.2.1.15.2.1.02.05.02.33 (Drog. Tracto Aliment. Y Metabolismo Normatizadas); la cantidad de pesos trescientos doce mil seiscientos c/00.- ($ 312.600,00.-).- Del ejercicio 2024.-
Artículo 5º: COPIAR: comunicar a quienes corresponda y archivar .","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30392",
"APS (S.S.P.)","Licitación Privada",0,0,"Alquiler de Impresoras para Dirección Centros de Salud.","10.206.000,00","20.412,00",",00","","13/05/2024","20/05/2024",878,,,,"ADJUDICATARIO: JEANMCO S.R.L. ítem 1, 2, 7, 10, 11, 12 por un importe total de pesos dos millones ochocientos ochenta y cuatro mil ochocientos doce ($ 2.884.812,00), TÉCNICA Y SISTEMAS S.R.L. ítem 20 por un importe total de pesos cuatrocientos setenta y siete mil ($ 477.000,00), RICSER JUNIN S.R.L. ítem 3, 4, 5, 6, 8, 9, 13, 14, 15, 16, 17, 18, 19 por un importe total de pesos cuatro millones cuatrocientos diez mil ($ 4.410.000,00).-
","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30346",
"Hospital de Niños ""Víctor J. Vilela""","Licitación Privada",0,0,"SERVICIO DE DOSIMETRIA. ""HOSPITAL VILELA""","7.608.000,00",",00","15.216,00","","13/05/2024","20/05/2024",890,,,,"SE ADJUDICA A: CONIRRAD S.R.L. Items 01, 02 y 03 mejor precio, pesos siete millones setecientos noventa y ocho mil doscientos c/00.- ($7.798.200,00.-)","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=30375",
