"Repartición Licitante","Tipo de Licitación","Nro. Expediente","Año Expediente","Objeto","Monto Oficial","Costo Pliego","Sellado","Observaciones","Fecha Apertura","Fecha Resolución","Nro. Resolución","Tipo de Norma","Nro de Norma","Año Norma","Resultado","Estado","Link",
"Hospital de Emergencias ""Dr. Clemente Álvarez""","Licitación Privada",0,0,"IMPLANTES OYT","154.000,00",",00","3.080,00","","28/02/2023","09/03/2023",406,,,,"RESOLUCIÓN Nº 000406
ROSARIO, ?CUNA DE LA BANDERA? 09/03/2023

VISTO el llamado a Licitación Privada Nº 02-047/23 efectuado por el H.E.C.A. para la adquisición de ?IMPLANTES O Y T?, dependiente de la Secretaria de Salud Pública, y teniendo en cuenta los informes obrantes en el mencionado legajo, considerando conveniente proveer al respecto:

EN USO DE SUS ATRIBUCIONES
LA SECRETARIA DE SALUD PUBLICA
RESUELVE

ART. 1º: ADJUDICASE: la precitada licitación en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.-


ADJUDICATARIO:  SM SALUD S.R.L., en los ítems 1, 2, 3, 6 y 7 por un importe total de $ 1.878.000,00 (pesos un millón ochocientos setenta y ocho mil con 00/00).

ADJUDICATARIO:  BIOIMPLANT S.R.L en los ítems 4, 5 y 8 por un importe total de $ 526.120,00 (pesos quinientos veintiseis mil ciento veinte con 00/00).


     ART. 2º: EL GASTO: que demande el cumplimiento de la presente Resolución deberá imputarse a los conceptos analíticos contenidos en el Clasificador por Objeto del Gasto vigente y a los clasificadores presupuestarios institucional, por fuente de financiamiento y por finalidad y función, de acuerdo a las relaciones de conversión definidas por el área responsable para los sistemas informáticos de Liquidación de Haberes y Administrativo-Contable, de manera optativa a las siguientes partidas:  
0.08016.1.08.02.0.2.01.15.2.1.02.09.05.06;    0.08016.1.08.02.0.2.01.14.2.1.02.09.05.06;      0.08016.1.08.02.0.1.01.1.2.1.02.09.05.06  (IMPLANTES O Y T ) la cantidad de $ 2.404.120,00 ? (pesos dos millones cuatrocientos cuatro mil ciento veinte con 00/00 ), del presupuesto  vigente y con estricto cumplimiento del art 55 de la Ordenanza de Contabilidad, según corresponda.-
ART. 3º: COPIAR comunicar a quien corresponda y archivar.
 
","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=27019",
"Hospital de Niños ""Víctor J. Vilela""","Licitación Privada",0,0,"MANTENIMIENTO DE ASCENSORES. ""HTAL. VILELA""","905.000,00",",00","1.810,00","","28/02/2023","02/03/2023",378,,,,"RESOLUCIÓN Nº:      000378
         ROSARIO, ?Cuna de la Bandera?      02 DE MARZO 2023
	Visto el llamado a Licitación Privada Nº:03-025/2023 efectuado por  el Hospital de Niños Victor  J. Vilela, para la adquisición de MANTENIMIENTO DE ASCENSORES, dependiente de la Secretaría de Salud Pública, y teniendo en cuenta los informes obrantes en el mencionado legajo, considerando conveniente proveer al respecto;
EN USO DE SUS ATRIBUCIONES
LA SECRETARIA DE SALUD PUBLICA
RESUELVE
        
Articulo 1º ADJUDICASE: la precitada Licitación en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.-    ADJUDICATARIOS: CUDDE JUAN J JAVIER Y AGUIRRE GUIDO MIGUEL S.H. Item 01, unica propuesta, pesos novecientos mil c/00 ($900.000,00.-)
ART. 2º EL GASTO: que demande el cumplimiento de la presente resolución se imputará de la siguiente manera:
A la partida: 0.08032.1.08.03.00.1.01.01.2.1.03.03.03.00 (Mantenimiento y reparación de maquinaria y equipo) pesos novecientos mil c/00 ($900.000,00.-) Del ejercicio 2023.-
ART. 3º: COPIAR: comunicar a quien corresponda y archivar.","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=27033",
"Secretaría de Cultura y Educación","Concurso de Precios",559,2023,"Servicio de mantenimiento de caldera para El Jardín de los Niños","327.536,00",",00",",00","","28/02/2023","07/03/2023",102,,,,"Se adjudica a José Luis Menardi por única propuesta y precio corriente en plaza, por la suma total de $ 320.000.- (Pesos Trescientos Veinte Mil).","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=27053",
"Hospital Intendente Gabriel Carrasco","Licitación Privada",0,0,"Provisión de Insumos para el LAVADERO MUNICIPAL","2.460.000,00","4.920,00",",00","","28/02/2023","03/03/2023",380,,,,"Rosario, Cuna de la Bandera RESOLUCIÓN Nº 000380 03/03/2023

Y VISTO el llamado a Licitación Privada Nº 015/23 efectuado para la provisión de Insumos para el  LAVADERO MUNICIPAL, dependiente de la Secretaría de Salud Pública.

Y CONSIDERANDO los informes obrantes en el mencionado legajo, siendo conveniente a tales efectos proveer al respecto:

EN USO DE SUS ATRIBUCIONES LA SECRETARÍA DE SALUD PÚBLICA
RESUELVE

Art. 1º: ADJUDICASE: la precitada licitación en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.-

	ADJUDICATARIO:

Lucas L. Laconca: ítems: 1; 3; por un importe total de pesos de un millón setecientos veintiunmil  ($1.721.000.-).
Hugo S. Solans: ítem: 2; por un importe total de pesos de ciento cuarenta y ocho mil ($148.000.-).

Art. 2º: EL GASTO que demande el cumplimiento de la presente Resolución se imputará de la siguiente manera: 
A la partida 0,8091. 01. 08. 04. 00. 01. 01. 01. 02. 01. 02. 09. 01. 00 Elementos de limpieza, por un importe total de pesos de un millón ochocientos sesenta y nueve mil ($1.869.000.-), del Presupuesto 2023 con estricto cumplimiento del Art. 55 de la ordenanza de contabilidad según corresponda.

Art. 3º: COPIAR comunicar a quien corresponda y archivar.","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=27059",
"Secretaría de Modernización y Cercanía","Concurso de Precios",3,2023,"CONSTRUCCION E INSTALACION DE 1 CARTEL","135.000,00",",00",",00","","28/02/2023","28/07/2023",30,,,,"Se le adjudica a la firma TRIVECA PUBLICIDAD S.R.L por un monto total de $135.000","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=27063",
"Dirección de Mujeres e Igualdad","Concurso de Precios",21,2023,"Contratación del Servicio de Catering Para  la Dir. de Mujeres e Igualdad","200.000,00",",00",",00","","28/02/2023","06/12/2023",2481,,,,"RESOLUCION  N.º 002481
Rosario, ? A 40 AÑOS DE LA RECUPERACIÓN DE LA DEMOCRACIA?06/12/2023

VISTO el llamado a Concurso de Precios Nro: 33/11 efectuado por el H.E.C.A., dependiente de la Secretaria de Salud Publica, para la adquisición de ?(CALZADO DE SEGURIDAD)? , y teniendo en cuenta los informes obrantes en el mencionado legajo.
Y VISTO: La  necesidad de efectuar adquisición  de medicamentos, insumos médicos, ,material descartable y elementos indispensables para la prestación del servicio de salud, en los efectores que integran la red de salud de esta Secretaria de Salud Pública.

        Y CONSIDERANDO:  Que de conformidad a las Ordenanzas  nro: 10.037 dictadas en fecha 19 de marzo de 2020, y sus correspondientes prórrogas y debidamente promulgadas, el Concejo Municipal aprueba el  Protocolo de Agilización  de relaciones instiucioanles municipales en materia sanitaria, en su articulo cuarto,  y conforme las facultades otorgadas pro el articulo 11 de la L.O.M y el art 68 inc a de la O.C al se autoriza, al  Departamento Ejecutivo a efectuar por el plazo de 180 días la contratación directa de los bienes y  servicios que sean necesarios para la contención social y sanitaria de la población.
Que por lo tanto el órgano legislativo exime por razones de urgencia, al Departamento Ejecutivo de efectuar los procedimientos de compras, que por monto hubieran correspondido incoar, según la Ordenanza de Contabilidad y el Reglamento de compras vigentes, aplicando de esta forma el articulo 68 inc a de la Ordenanza de Contabilidad.
Que no obstante esta autorización otorgada y a los fines de asegurar total transparencia y permitir la mayor participación se han efectuado invitaciones y publicación del llamado para  obtener también las ofertas mas conveniente y que permitan con ello, una afectación de los recursos en la mayor atención de las necesidades que imponga el desarrollo de la pandemia en su propagación.
Que conforme el acta de apertura no se ha presentado oferente alguno al llamado efectuado, por lo que corresponde declarar desierto el presente acto licitatorio.
                           
                        SIENDO NECESARIO PROVEER SOBRE EL PARTICULAR 
                                               EN USO DE SUS ATRIBUCIONES
LA SECRETARÍA DE SALUD PÚBLICA RESUELVE

Art. 1ero.: DECLARAR DESIERTA, el Concurso de Precios  Nro. 33/11 efectuada por el Servicio varios del Hospital de Emergencias Dr. Clemente Alvarez, conforme a los considerandos de la presente resolución, cuyo objeto es la adquisición de ?CALZADO DE SEGURIDAD? 


Art 2do.: DISPONER, que la administración Pública efectuará un nuevo llamado cuando lo estime conveniente.


Art. 3ro.: COPIAR, comunicar a quienes corresponda y archivar.
","Fracasada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=27096",
"Maternidad Martin","Licitación Privada",0,0,"EQUIPO DE RAYO X RODANTE - MATERNIDAD MARTIN","4.359.114,50",",00","11.770,00","","01/03/2023","17/03/2023",523,,,,"Municipalidad de Rosario
Secretaría de Salud pública




RESOLUCIÓN Nº  00523

ROSARIO,  CUNA DE LA BANDERA 17 DE MARZO 2023

  VISTO el llamado a Licitación Privada Nº 07-020-2023 efectuado por Maternidad Martin   para la compra de EQUIPO DE RAYOS X RODANTE, para los servicio de     neonatologia de la MATERNIDAD MARTÍN - CEMAR   dependiente de la Secretaría de Salud Pública.  
  Y CONSIDERANDO  que las ofertas presentadas no cumplen con las caracteristicas solicitadas .
-EN USO DE SUS ATRIBUTOS
-LA SECRETARIA DE SALUD PUBLICA
RESUELVE-

ART 1º : DESESTIMASE : Las oferta de GONTOCAL S.R.L. por no ajustarse a lo solicitado .y por no ajustarse a lo solicitado .DANIEL GONZALES S.A. , FARKIM S.R.L.y   GRAN BUENOS AIRES RAYOS X S.A. por sobreprecio .

 


ART 2º : DISPONER : que la Administración  proceda a efectuar un nuevo llamado a licitación   cuando lo considere conveniente .


ART 3º: COPIAR: comunicar a quien corresponda y archivar.","Fracasada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=26985",
"Secretaría de Cultura y Educación","Licitación Privada",25264,2022,"Adquisición y colocación de pisos vinílicos en el Anfiteatro Municipal Humberto de Nito","1.100.097,00","2.200,20",",00","","01/03/2023","17/03/2023",122,,,,"Se adjudicó a la firma ""ROSARIO GOMA DE RAUL GONZALEZ S.R.L."" por mejor precio, por la suma total de $ 1.325.572.- (Pesos Un Millón Trescientos Veinticinco Mil Quinientos Setenta y Dos).","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=27023",
"Hospital de Emergencias ""Dr. Clemente Álvarez""","Licitación Privada",0,0,"INYECTABLES MENORES","1.116.400,00",",00","2.233,00","","01/03/2023","16/03/2023",517,,,,"RESOLUCIÓN Nº 0517

ROSARIO, ?CUNA DE LA BANDERA?, 16 de Marzo de 2023

VISTO el llamado a Licitación Privada Nº 02-048/23 efectuado por el H.E.C.A. para la adquisición de ?INYECTABLES MENORES? , dependiente de la Secretaria de Salud Publica, y teniendo en cuenta los informes obrantes en el mencionado legajo, considerando conveniente proveer al respecto:

EN USO DE SUS ATRIBUCIONES
LA SECRETARIA DE SALUD PUBLICA
RESUELVE

ART.1º: ADJUDICASE: la precitada licitación en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.-

ADJUDICATARIO: DROG. BOSCH- GRUPO BOSCH S.C. en el/los ítem/s 1,4y7 por un importe total de $ 222.518.20 (pesos doscientos veintidos mil quinientos dieciocho con 20/00)
ADJUDICATARIO: DROG. NUEVA ERA ROSARIO S.R.L. en el/los ítem/s 1,3,5y6 por un importe total de $ 1.007.130,00 (pesos un millón siete mil ciento treinta con 00/00)


ART. 2º: EL GASTO: que demande el cumplimiento de la presente Resolución deberá imputarse a los conceptos analíticos contenidos en el Clasificador por Objeto del Gasto vigente y a los clasificadores presupuestarios institucional, por fuente de financiamiento y por finalidad y función, de acuerdo a las relaciones de conversión definidas por el área responsable para los sistemas informáticos de Liquidación de Haberes y Administrativo-Contable, de la siguiente manera:

     A la partida: 0.08020.1.08.02.0.2.01.14.2.1.02.05.02.25 ó 0.08020.1.08.02.0.2.01.15.2.1.02.05.02.25 ó 0.08020.1.08.02.0.1.01.01.2.1.02.05.02.25 (INYECTABLES MENORES la cantidad de $ 1.229.648,20 (pesos un millón doscientos veintinueve mil seiscientos cuarenta y ocho con 20/00) del presupuesto vigente y con estricto cumplimiento del Art.55 de la Ordenanza de Contabilidad; según corresponda.-

ART. 3º: COPIAR: comunicar a quien corresponda y archivar.
","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=27024",
"Hospital de Emergencias ""Dr. Clemente Álvarez""","Licitación Privada",0,0,"INYECTABLES MAYORES - SUEROS","844.500,00",",00","1.689,00","","01/03/2023","16/03/2023",516,,,,"RESOLUCIÓN Nº 0516

ROSARIO, ?CUNA DE LA BANDERA?, 16 de Marzo de 2023

VISTO el llamado a Licitación Privada Nº 02-049/23 efectuado por el H.E.C.A. para la adquisición de ?INYECTABLES MAYORES-SUEROS? , dependiente de la Secretaria de Salud Publica, y teniendo en cuenta los informes obrantes en el mencionado legajo, considerando conveniente proveer al respecto:

EN USO DE SUS ATRIBUCIONES
LA SECRETARIA DE SALUD PUBLICA
RESUELVE


ART.1º: DESESTIMASE: Item N°3: Desestimada única oferta por sobreprecio por el Servicio de Farmacia.-

ART.2º: ADJUDICASE: la precitada licitación en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.-

ADJUDICATARIO: DROG. BOSCH-GRUPO BOSCH S.C. en el/los ítem/s -1 por un importe total de $ 219.848,00 (pesos doscientos diecinueve mil ochocientos cuarenta y ocho con 00/00)
ADJUDICATARIO: DROG. NUEVA ERA ROSARIO S.R.L. en el/los ítem/s 2y4 por un importe total de $ 664.560,00 (pesos seiscientos sesenta y cuatro mil quinientos sesenta con 00/00)


ART. 3º: EL GASTO: que demande el cumplimiento de la presente Resolución deberá imputarse a los conceptos analíticos contenidos en el Clasificador por Objeto del Gasto vigente y a los clasificadores presupuestarios institucional, por fuente de financiamiento y por finalidad y función, de acuerdo a las relaciones de conversión definidas por el área responsable para los sistemas informáticos de Liquidación de Haberes y Administrativo-Contable, de la siguiente manera:

   A la partida: 0.08020.1.08.02.0.2.01.15.2.1.02.05.02.03 ó 0.08020.1.08.02.0.2.01.14.2.1.02.05.02.03 ó 0.08020.1.08.02.0.1.01.01.2.1.02.05.02.03 INYECTABLES MAYORES - SUEROS la cantidad de $ 884.408,00 (pesos ochocientos ochenta y cuatro mil cuatrocientos ocho con 00/00) del presupuesto vigente y con estricto cumplimiento del Art.55 de la Ordenanza de Contabilidad; según corresponda.- 

     
ART. 4º: COPIAR: comunicar a quien corresponda y archivar.
","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=27025",
"Hospital de Emergencias ""Dr. Clemente Álvarez""","Licitación Privada",0,0,"FORMULAS PARA ALIMENTACION ENTERAL GENERALES","1.239.000,00",",00","2.478,00","","01/03/2023","16/03/2023",513,,,,"RESOLUCIÓN Nº  000513


?CUNA DE LA BANDERA?, 16 de marzo de 2023.-



VISTO el llamado a Licitación Privada Nº02-052/23 efectuado por el H.E.C.A. para la adquisición de ?FORMULAS PARA ALIMENTACION ENTERAL GENERALES? , dependiente de la Secretaria de Salud Publica, y teniendo en cuenta los informes obrantes en el mencionado legajo, considerando conveniente proveer al respecto:

EN USO DE SUS ATRIBUCIONES
LA SECRETARIA DE SALUD PUBLICA
RESUELVE


ART. 1º ADJUDICASE: la precitada licitación en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.-


ADJUDICATARIO: COMPAÑIA FARMACEUTICA S.R.L., en el/los ítem/s -1 y 2 por un importe total de $ 1.382.444,00 (pesos un millon trescientos ochenta y dos mil cuatrocientos cuarenta y cuatro con 00/00 ),



         ART. 2º: EL GASTO: que demande el cumplimiento de la presente Resolución deberá imputarse a los conceptos analíticos contenidos en el Clasificador por Objeto del Gasto vigente y a los clasificadores presupuestarios institucional, por fuente de financiamiento y por finalidad y función, de acuerdo a las relaciones de conversión definidas por el área responsable para los sistemas informáticos de Liquidación de Haberes y Administrativo-Contable, de la manera ptativa a las siguientes partidas:     

 0.08020.1.08.02.0.2.01.14.2.1.02.05.02.05,  0.08020.1.08.02.0.2.01.15.2.1.02.05.02.05 y/o  0.08020.1.08.02.0.1.01.01.2.1.02.05.02.05 (FORMULAS PARA ALIMENTACION ENTERAL GENERALES) la cantidad de $ 1.382.444,00 (pesos un millon trescientos ochenta y dos mil cuatrocientos cuarenta y cuatro con 00/00) del presupuesto vigente y con estricto cumplimiento del Art. 55 de la Ordenanza de Contabilidad, según corresponda.-

ART. 3º: COPIAR comunicar a quien corresponda y archivar.

","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=27047",
"Servicio Público de la Vivienda y el Hábitat","Concurso de Precios",2,2023,"ARTICULOS ELECTRICOS PARA EL SERVICIO PUBLICO DE LA VIVIENDA Y EL HABITAT","316.075,00",",00",",00","","01/03/2023","06/03/2023",315,,,,"SE ADJUDICA:
A LA FIRMA SEMPRINI, NICOLAS PARA EL ITEM 15 POR UNA SUMA TOTAL DE $378,95.-
A LA FIRMA DEFFATO HECTOR MIGUEL PARA LOS ITEMS 1,2,3,4,5,6,11,12,13 Y 18 POR UNA SUMA TOTAL DE $101.850.-
A LA FIRMA CASA BUREU PARA LOS ITEMS 7 Y 9 POR LA SUMA DE $4.786,95.-
A  LA FIRMA ROMANO NESTOR PARA LOS ITEMS 8,10,11,16 Y 17 POR LA SUMA DE $149.483,44.-","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=27054",
"APS (S.S.P.)","Licitación Privada",0,0,"Medicamentos metabólicos generales y normatizados.-","4.404.130,75","11.891,16",",00","","02/03/2023","27/03/2023",574,,,,"ART. 1º: DESESTÍMASE los ítems 6 y 13, debido a que las ofertas presentadas superan en mas de un 20% el presupuesto estimado.-

	ART. 2º: ADJUDÍCASE la precitada licitación en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.-

	ADJUDICATARIO: DROGUERÍA ""20 DE JUNIO"" S.A. ítem 8, 16, 17 por un importe total de pesos novecientos noventa y siete mil novecientos cincuenta ($ 997.950,00), DROGUERÍA LIDER S.R.L. ítem 2 por un importe total de pesos ochocientos sesenta y tres mil quinientos ($ 863.500,00), NUEVA ERA ROSARIO S.R.L. ítem 4, 10, 11, 12, 15 por un importe total de pesos un millón quinientos noventa y ocho mil ochocientos treinta y cuatro con 40/100.- ($ 1.598.834,40), DROGUERÍA BOSCH - GRUPO BOSCH S.C. ítem 1, 3, 5, 7, 9, 14, 18, 20 por un importe total de pesos un millón cincuenta y siete mil ochocientos veinticinco con 80/100.- ($ 1.057.825,80), DROGUERÍA COMARSA S.A. ítem 19 por un importe total de pesos seiscientos mil ($ 600.000,00).-","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=26949",
"APS (S.S.P.)","Licitación Privada",0,0,"Especialidades medicinales.-","5.435.005,46","14.674,52",",00","","02/03/2023","27/03/2023",575,,,,"ART. 1º: DESESTÍMASE los Ítems 24, 29, 30 y 31, debido a que las ofertas presentadas superan en mas de un 20% el presupuesto estimado; 10, debido a que fue solicitado erróneamente. Se desestima la oferta de NUEVA ERA ROSARIO S.R.L. para el item 1 por presentar vencimiento próximo.-
ART. 2º: ADJUDÍCASE la precitada licitación en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.-
	ADJUDICATARIO: DROGUERÍA LIDER S.R.L. ítem 4 por un importe total de pesos trescientos setenta mil ciento veinticinco ($ 370.125,00), NUEVA ERA ROSARIO S.R.L. ítem 3, 5, 8, 12, 15, 16, 18, 20, 21, 22, 23, 27, 32 por un importe total de pesos dos millones quinientos noventa y cuatro mil ochocientos noventa y cinco ($ 2.594.895,00), SUIZO ARGENTINA S.A. ítem 11 por un importe total de pesos cinco mil ($ 5.000,00), DROGUERÍA ""20 DE JUNIO"" S.A. ítem 14 por un importe total de pesos quince mil quinientos cincuenta y cinco ($ 15.555,00), DROGUERÍA BOSCH - GRUPO BOSCH S.C. ítem 2, 6, 7, 9, 17, 19, 25, 26, 28 por un importe total de pesos un millón trescientos catorce mil ochocientos setenta con 10/100.- ($ 1.314.870,10), DROGUERÍA COMARSA S.A. ítem 1 por un importe total de pesos siete mil ciento cuarenta y dos ($ 7.142,00), DROGUERÍA MONUMENTO S.A. ítem 13 por un importe total de pesos un millón doscientos ochenta y ocho mil seiscientos sesenta ($ 1.288.660,00).-","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=26950",
"Secretaría de Control y Convivencia","Licitación Pública",2350,2023,"ADQUISICION DE CUBIERTAS PARA VEHICULOS DE LA SECRETARIA DE CONTROL Y CONVIVENCIA ","5.815.280,00","15.701,26",",00","","02/03/2023","14/04/2023",408,,,,"Adjudicase a la Firma LARRAURI NEUMÁTICOS S.A, ítems Nº 1,2,3,4,5.1 y 5.2 por el monto total de $4.758.340.
Desestimase la propuesta presentada por la Firma NEUMÁTIOS VERONA S.A. ","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=26961",
"Secretaría de Obras Públicas","Licitación Privada",35785,2022,"PROVISION DE MATERIALES PARA INSTALACION ELECTRICA - CIDEL INCAA","1.850.000,00","3.700,00",",00","","02/03/2023","19/09/2023",24,,,,"Se declara desierto","Desierta","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=27020",
"Hospital de Emergencias ""Dr. Clemente Álvarez""","Licitación Privada",0,0,"DROGAS TRACTO ALIMENTARIO Y METABOLISMO GENERALES ","1.016.300,00",",00","2.033,00","","02/03/2023","16/03/2023",515,,,,"
RESOLUCIÓN Nº 0515

ROSARIO, ?CUNA DE LA BANDERA?, 16 de Marzo de 2023

VISTO el llamado a Licitación Privada Nº 02-050/23 efectuado por el H.E.C.A. para la adquisición de ?DROGAS TRACTO ALIMENTARIO Y METABOLISMO GENERALES? , dependiente de la Secretaria de Salud Publica, y teniendo en cuenta los informes obrantes en el mencionado legajo, considerando conveniente proveer al respecto:

EN USO DE SUS ATRIBUCIONES
LA SECRETARIA DE SALUD PUBLICA
RESUELVE

ART.1º: DECLARASE DESIERTO: Item N°2: Desierto, sin oferentes.-

ART.2º: ADJUDICASE: la precitada licitación en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.-

ADJUDICATARIO: DROG. NUEVA ERA ROSARIO S.R.L., en el/los ítem/s 4,6,8y9 por un importe total de $ 766.439.24 (pesos setecientos sesenta y seis mil cuatrocientos treinta y nueve con 24/00)
ADJUDICATARIO: DROG. 20 DE JUNIO S.A. en el/los ítem/s -3 por un importe total de $ 15.250,00 (pesos quince mil doscientos cincuenta con 00/00)
ADJUDICATARIO: DROG. LIDER S.R.L., en el/los ítem/s 1y7 por un importe total de $ 195.980,00 (pesos ciento noventa y cinco mil novecientos ochenta con 00/00)
ADJUDICATARIO: DROG. BOSCH- GRUPO BOSCH S.C., en el/los ítem/s -5 por un importe total de $ 4.230,00 (pesos cuatro mil doscientos treinta con 00/00)

ART. 3º: EL GASTO: que demande el cumplimiento de la presente Resolución deberá imputarse a los conceptos analíticos contenidos en el Clasificador por Objeto del Gasto vigente y a los clasificadores presupuestarios institucional, por fuente de financiamiento y por finalidad y función, de acuerdo a las relaciones de conversión definidas por el área responsable para los sistemas informáticos de Liquidación de Haberes y Administrativo-Contable, de la siguiente manera:

     A la partida: 0.08020.1.08.02.0.2.01.14.2.1.02.05.02.13 ó 0.08020.1.08.02.0.2.01.15.2.1.02.05.02.13 ó 0.08020.1.08.02.0.1.01.01.2.1.02.05.02.13 (DROGAS TRACTO ALIMENTARIO Y METABOLISMO GENERALES) la cantidad de $ 981.899,24 (pesos novecientos ochenta y un mil ochocientos noventa y nueve con 24/00) del presupuesto vigente y con estricto cumplimiento del Art.55 de la Ordenanza de Contabilidad; según corresponda.-
   

ART. 4º: COPIAR comunicar a quien corresponda y archivar.
","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=27026",
"Hospital de Emergencias ""Dr. Clemente Álvarez""","Licitación Privada",0,0,"BIOMEDICOS CATETERES, SONDAS Y EQUIPOS DE USO GENERAL","368.100,00",",00","737,00","","02/03/2023","21/03/2023",539,,,,"
RESOLUCION Nro.: 0539
	
Rosario, ?CUNA DE LA BANDERA?, 21 de Marzo de 2023

VISTO el llamado a Licitación Privada Nº 02-054/23 efectuado por el H.E.C.A. para la adquisición de ?BIOMEDICOS CATETERES, SONDAS Y EQUIPOS DE USO GENERAL? , dependiente de la Secretaria de Salud Publica, y teniendo en cuenta los informes obrantes en el mencionado legajo, considerando conveniente proveer al respecto:

EN USO DE SUS ATRIBUCIONES
LA SECRETARIA DE SALUD PUBLICA
RESUELVE
      
      ART. 1º: DESESTIMASE: Items N°3 y N°4: Desestimados por el Servicio de Farmacia por sobreprecio.-

         ART. 2º: ADJUDICASE: la precitada licitación en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.-

ADJUDICATARIO: SEYER S.R.L., en el/los ítem/s 1y2 por un importe total de $ 291.000,00 (pesos doscientos noventa y un mil con 00/00)
ADJUDICATARIO: DCD PRODUCTS S.R.L., en el/los ítem/s 5,6y7 por un importe total de $ 90.450,00 (pesos noventa mil cuatrocientos cincuenta con 00/00)


      ART. 3º: EL GASTO: que demande el cumplimiento de la presente Resolución deberá imputarse a los conceptos analíticos contenidos en el Clasificador por Objeto del Gasto vigente y a los clasificadores presupuestarios institucional, por fuente de financiamiento y por finalidad y función, de acuerdo a las relaciones de conversión definidas por el área responsable para los sistemas informáticos de Liquidación de Haberes y Administrativo-Contable, de la siguiente manera:
       A la partida: 0.08020.1.08.02.0.2.01.15.2.1.02.09.05.22 ó 0.08020.1.08.02.0.2.01.14.2.1.02.09.05.22 ó 0.08020.1.08.02.0.1.01.01.2.1.02.09.05.22 (BIOMEDICOS CATETERES, SONDAS Y EQUIPOS DE USO GENERAL) la cantidad de $ 381.450,00 (pesos trescientos ochenta y un mil cuatrocientos cincuenta con 00/00) del presupuesto vigente y con estricto cumplimiento del Art.55 de la Ordenanza de Contabilidad; según corresponda.-


      ART. 4º: COPIAR comunicar a quien corresponda y archivar.
 
","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=27078",
"Centro Municipal de Distrito Sudoeste ""Emilia Bertolé""","Concurso de Precios",2,2023,"PROVISION DE VIDRIOS PARA EL C.M.D SUDOESTE ""EMILIA BERTOLE""","440.000,00",",00",",00","","02/03/2023","30/05/2023",20,,,,"no hubo oferentes para el concurso de precios de referencia. se declara DESIERTO.","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=27090",
